name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Stepping It Up Spicy Snack Bar Mix,$5.99,11.5 Oz,32 g,160.0,170.0,10 g,1 g,0 g,0 mg,280 mg,17 g,2 g,2 g,0 g,3 g,0.2 mcg,30 mg,0.6 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Step Up to the Snack Bar Mix,$5.99,12 Oz,30 g,160.0,162.0,10 g,1.5 g,0 g,0 mg,180 mg,15 g,1 g,2 g,2 g,3 g,0.1 mcg,30 mg,0.4 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Mushroom & Truffle Flavored Pesto,$4.99,6 Oz,60 g,270.0,267.0,27 g,4.0 g,0 g,10 mg,400 mg,2 g,2 g,0 g,0 g,4 g,,,,,,,,,,,,,,,,,,,,,,,,,
Green Goddess Dip,$4.49,12 Oz,31 g,90.0,97.0,9 g,1.5 g,0 g,10 mg,150 mg,2 g,2 g,2 g,0 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Candied Pecans,$4.49,5 Oz,30 g,220.0,220.0,20 g,2 g,0 g,0 mg,95 mg,7 g,2 g,4 g,3 g,3 g,0.2 mcg,10 mg,0.8 mg,90 mg,7 g,10 g,,,,,,,,,,,,,,,,,,,
Greek Olive Medley,$3.99,10 Oz,15 g,20.0,22.5,2.5 g,0 g,0 g,0 mg,280 mg,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Lemon Ricotta Cheese,$13.99,1 Lb,28 g,60.0,63.0,3g,1.5g,0g,15mg,90mg,6g,0g,4g,4g,3g,,,,,,,,,,,,,,,,,,,,,,,,,
Fuyu Persimmons,$0.79,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Collection,$7.99,8.11 Oz,30 g,160.0,157.0,9 g,6 g,0 g,0 mg,10 mg,17 g,1 g,12 g,12 g,2 g,0.3 mcg,30 mg,3.3 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
New York Deli Style Cheesecake,$7.99,30 Oz,125 g,400.0,409.0,25g,15g,0.5g,85g,250g,40g,2g,29g,25g,6g,0.2mcg,70mg,0.5mg,120mg,,,,,,,,,,,,,,,,,,,,,
Vegan Mint & Chip Bon Bons,$4.49,5.64 Oz,160 g,580.0,578.0,42 g,35 g,0 g,0 mg,40 mg,47 g,3 g,42 g,37 g,3 g,0 mcg,20 mg,4.2 mg,440 mg,,,,,,,,,,,,,,,,,,,,,
Brie en Croûte,$7.49,12 Oz,85 g,330.0,331.0,27 g,12 g,0.5 g,50 mg,400 mg,12 g,0 g,0 g,0 g,10 g,0.1 mcg,190 mg,2.3 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Crispy Vegetable Pouches,$4.49,6.8 Oz,80 g,480.0,488.0,24 g,4.0 g,0 g,0 mg,1040 mg,60 g,6 g,6 g,2g,8 g,0 mcg,30 mg,3.5 mg,360 mg,,,,,,,,,,,,,,,,,,,,,
Fried Olive Bites,$4.79,8 Oz,77 g,630.0,645.0,41 g,10 g,0 g,30 mg,2630 mg,59 g,10 g,9 g,2g,10 g,0 mcg,150 mg,1.7 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Organic Taralli and Friends Crackers,$3.29,12 Oz,28 g,130.0,129.0,5 g,0.5 g,0 g,0 mg,250 mg,18 g,0 g,2 g,0 g,3 g,0 mcg,150 mg,0.3 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Ground Fermented Black Garlic,$2.99,1.02 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focaccia Bread Mix,$2.99,12.3 Oz,29 g,150.0,150.0,6 g,1.0 g,0 g,0 mg,290 mg,21 g,2 g,1 g,2g,3 g,0 mcg,10 mg,1.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Organic Young Turkey Free Range,$3.99,1 Lb,112 g,160.0,150.0,6 g,1.5 g,0 g,80 mg,125 mg,0 g,0 g,0 g,0 g,24 g,13.4 mcg,10 mg,1.0 mg,250 mg,,,,,,,,,,,,,,,,,,,,,
All Natural Glatt Kosher Young Turkey,$3.49,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Natural Brined Young Turkey (12-16 lbs),$2.49,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Natural Brined Young Turkey (18-22 lbs),$2.49,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Dried & Pitted Deglet Noor Dates,$2.99,8 Oz,40 g,110.0,128.0,0 g,0 g,0 g,0 mg,0 mg,30 g,3 g,25 g,0 g,2 g,0 mcg,20 mg,0.4 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Wine Infused Sea Salt Grinder,$4.99,12.7 Oz,0.5 g,0.0,0.0,0g,,,,160mg,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Parmigiano Reggiano Aged 40 Months,$17.99,1 Lb,28 g,110.0,108.0,8g,5g,0g,25mg,180mg,0g,0g,0g,0g,9g,,,,,,,,,,,,,,,,,,,,,,,,,
Cut Butternut Squash,$4.99,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumnal Pie Truffles,$4.49,4.4 Oz,31 g,180.0,176.0,12 g,7 g,0 g,10 mg,25 mg,15 g,2 g,14 g,12 g,2 g,0.2 mcg,30 mg,0.8 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Coins of the World,$1.99,4 Oz,30 g,150.0,156.0,8 g,5 g,0 g,5 mg,15 mg,19 g,2 g,18 g,16 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Organic Cranberries,$1.99,8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts,$4.99,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Cranberry Sauce,$3.99,16 Oz,70 g,110.0,108.0,0 g,0 g,0 g,0 mg,0 mg,27 g,2 g,25 g,24 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
"Spiral Sliced Uncured Ham, Half",$4.99,1 Lb,56 g,110.0,115.0,7 g,2 g,0 g,40 mg,630 mg,2 g,2 g,2 g,2g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
"Spiral Sliced Uncured Ham, Quarter",$5.99,1 Lb,56 g,110.0,115.0,7 g,2 g,0 g,40 mg,630 mg,2 g,2 g,2 g,2g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Thanksgiving Stuffing Seasoned Kettle Chips,$2.99,6 Oz,28 g,140.0,134.0,6 g,1 g,0 g,0 mg,135 mg,18 g,1 g,2 g,0 g,2 g,0 mcg,10 mg,0.5 mg,380 mg,,,,,,,,,,,,,,,,,,,,,
Gingerbread Turkey Trot Cookie Decorating Kit,$6.99,20.8 Oz,30 g,120.0,115.0,3.0 g,1.5 g,0 g,0 mg,60 mg,21 g,0 g,13 g,13 g,1 g,0.1 mcg,10 mg,0.6 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Milk Chocolate Advent Calendar,$1.29,1.76 Oz,50 g,270.0,271.0,15 g,9 g,0 g,5 mg,20 mg,31 g,1 g,26 g,26 g,3 g,0 mcg,70 mg,0.9 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Nuts About Rosemary Mix,$7.99,12 Oz,30 g,180.0,188.0,16 g,1.5 g,0 g,0 mg,140 mg,6 g,3 g,2 g,2 g,5 g,,,,,,,,,,,,,,,,,,,,,,,,,
Brined Bone-In Half Turkey Breast Fully Cooked,$9.99,1 Lb,85 g,100.0,94.5,2.5 g,1.0 g,0 g,45 mg,390 mg,1 g,0 g,2 g,2g,17 g,0.1 mcg,10 mg,0.5 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Organic Free Range Chicken Stock,$2.29,32 Fl Oz,8 fl oz,15.0,8.0,0 g,0 g,0 g,0 mg,380 mg,0 g,0 g,0 g,0 g,2 g,0 mcg,10 mg,0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Graham Cracker Squares,$3.49,14.1 Oz,28 g,120.0,123.0,3 g,0 g,0 g,0 mg,125 mg,22 g,1 g,7 g,7 g,2 g,0 mcg,10 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
"Butter Quarters, Unsalted",$3.99,16 Oz,14 g,100.0,99.0,11 g,7 g,0 g,30 mg,0 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
"Butter Quarters, Salted",$3.99,16 Oz,14 g,100.0,99.0,11 g,7 g,0 g,30 mg,90 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Organic Gold Potatoes,$3.99,3 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Apple Salad Kit,$3.99,9.2 Oz,100 g,450.0,460.0,32 g,6 g,0 g,15 mg,450 mg,35 g,6 g,26 g,15 g,8 g,0.4 mcg,250 mg,2.6 mg,760 mg,,,,,,,,,,,,,,,,,,,,,
Four Cheese Scalloped Potatoes,$5.99,17 Oz,1/2 cup,170.0,172.0,8g,4.5g,0g,25mg,340mg,20g,2g,3g,0g,5g,0.1mcg,130mg,0.4mg,290mg,,,,,,,,,,,,,,,,,,,,,
Peri Peri Sauce,$3.49,6.76 Fl Oz,5 mL,10.0,9.0,1.0 g,0 g,0 g,0 mg,90 mg,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Naan Crackers,$3.49,10 Oz,10 crackers 30g,130.0,129.0,5.0 g,0.5 g,0 g,0 mg,250 mg,19 g,2g g,2g g,0 g,2 g,0.0 mcg,10 mg,1.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Stuffing Mix,$6.49,12.4 Oz,29 g,210.0,211.0,11g,3.5g,0g,35mg,370mg,24g,0g,5g,0g,4g,0mcg,160mg,2mg,49mg,,,,,,,,,,,,,,,,,,,,,
Cornbread Stuffing Mix,$4.99,12.4 Oz,29 g,180.0,177.0,9 g,5 g,0 g,20 mg,420 mg,20 g,0 g,2 g,0 g,4 g,0 mcg,20 mg,2 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Condensed Cream of Portabella Mushroom Soup,$1.99,11 Oz,120 mL,70.0,80.5,4.5 g,2.5 g,0 g,10 mg,600 mg,8 g,0 g,2 g,0 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
All Butter Puff Pastry Sheets,$4.99,18 Oz,32 g,120.0,124.0,8 g,4.5 g,0 g,25 mg,150 mg,11 g,0 g,0 g,0 g,2 g,0.1 mcg,10 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
All Butter Puff Pastry Sheets,$4.99,18.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Sauce,$2.99,12 Oz,70 g,90.0,92.0,0 g,0 g,0 g,0 mg,5 mg,23 g,2 g,20 g,19 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Gravy,$1.69,17.6 Oz,60 g,20.0,16.5,0.5 g,0 g,0 g,0 mg,230 mg,3 g,0 g,0 g,0 g,0 g,0 mcg,10 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
12 Cranberry Orange Bars,$4.99,10.5 Oz,50 g,170.0,160.0,8g,5g,0g,55g,70mg,20g,0g,14g,13g,2g,0.2mcg,10mg,0.2mg,20mg,,,,,,,,,,,,,,,,,,,,,
Mini Marshmallows,$2.99,10 Oz,28 g,100.0,96.0,0 g,0 g,0 g,0 mg,20 mg,24 g,0 g,17 g,17 g,0 g,0 mcg,0 mg,0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Nantucket Style Cranberry Pie,$6.99,16.5 Oz,78 g,280.0,282.0,14 g,7 g,0 g,55 mg,115 mg,36 g,0 g,28 g,27 g,3 g,0.2 mg,20 mg,0.4 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Holiday Vegetable Hash,$4.99,18 Oz,85 g,45.0,52.0,0 g,0 g,0 g,0 mg,30 mg,11 g,2 g,3 g,0 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
White Stilton with Cranberries,$11.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bean Casserole Bites,$3.99,4.8 Oz,136 g,290.0,285.0,17g,8g,0.5g,40mg,580mg,25g,2g,2g,2g,8g,0.2mcg,150mg,1.6,150mg,,,,,,,,,,,,,,,,,,,,,
Fleur de Sel Caramel Sauce,$3.99,10 Oz,19 g,60.0,57.5,1.5 g,1 g,0 g,5 mg,55 mg,11 g,0 g,9 g,9 g,0 g,0 mcg,7 mg,0 mg,9 mg,,,,,,,,,,,,,,,,,,,,,
Whole Grain Dijon Mustard,$1.99,12.3 Oz,5 g,5.0,4.5,0.5 g,,,,80 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Dijon Mustard,$1.99,13 Oz,5 g,10.0,4.5,0.5 g,,,,105 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Bananas,$0.23,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Tricolor Spaghetti,$2.49,16 Oz,56 g/,200.0,197.0,1 g,0 g,0 g,0 mg,0 mg,40 g,2 g,2 g,0 g,7 g,0 mcg,20 mg,0.6 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Gourmet Fried Onion Pieces,$2.99,8 Oz,7 g,45.0,39.0,3 g,1 g,0 g,0 mg,35 mg,3 g,0 g,0 g,0 g,0 g,0 mcg,3.4 mg,0 mg,27 mg,,,,,,,,,,,,,,,,,,,,,
Breaded Turkey-less Stuffed Roast,$14.99,2.5 Lb,123 g,360.0,356.0,16 g,2 g,0 g,0 mg,960 mg,27 g,3 g,4 g,2g,26 g,0 mcg,50 mg,3.8 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Scallopini Potatoes,$4.49,18 Oz,140 g,190.0,190.0,10 g,6 g,0 g,25 mg,570 mg,18 g,2 g,3 g,0 g,7 g,0 mcg,180 mg,0.2 mg,440 mg,,,,,,,,,,,,,,,,,,,,,
Everything But The Leftovers Seasoning Blend,$2.99,2.6 Oz,1.2 g,0.0,0.0,0 g,,,,160 mg,0 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Truffle Salami,$4.99,5 Oz,28 g,100.0,95.0,7g,2.5g,0g,25mg,360mg,0g,0g,0g,,8g,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Chèvre Goat Cheese,$4.99,8 Oz,28 g,80.0,76.5,4.5g,3g,0g,20mg,75mg,5g,0g,3g,2g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts Sauté Kit,$4.69,13 Oz,85 g,140.0,142.0,10 g,1.5 g,0 g,10 mg,105 mg,8 g,3 g,3 g,1 g,5 g,0 mcg,90 mg,1.1 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Indian Style Garlic Achaar sauce,$2.69,6.8 Oz,16 g,50.0,47.5,3.5g,1g,0g,0mg,125mg,4g,2g,2g,2g,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Pie Crusts,$4.49,22 Oz,39 g,190.0,193.0,13 g,7 g,0 g,5 mg,40 mg,17 g,0 g,2 g,2 g,2 g,0 mcg,0 mg,1.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Creamed Greens,$5.99,16 Oz,124 g,0.0,131.0,7 g,2.5 g,0 g,15 mg,440 mg,11 g,4 g,4 g,0 g,6 g,0.6 mcg,120 mg,0.7 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Italian Capellini,$0.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Linguine,$0.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaghetti,$0.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Farfalle,$1.29,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Italian 

Penne Rigate",$0.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts of Palm Pasta,$3.49,9 Oz,85 g,60.0,64.0,0 g,0 g,0 g,0 mg,0 mg,13 g,5 g,3 g,0 g,3 g,0 mcg,90 mg,0.4 mg,400 mg,,,,,,,,,,,,,,,,,,,,,
Sour Jelly Beans,$2.49,4 Oz,30 g,120.0,112.0,0 g,0 g,0 g,0 mg,0 mg,28 g,0 g,22 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Bamba with Hazelnut Creme Filling,$1.99,3 Oz,28 g,460.0,456.0,24 g,4.0 g,0 g,0 mg,160 mg,51 g,3 g,21 g,19 g,9 g,0 mcg,90 mg,1.1 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Kale & Cauliflower Chili,$3.99,24 Oz,250 g,560.0,582.0,26 g,4.5 g,0 g,0 mg,1620 mg,70 g,21 g,22 g,4 g,17 g,0 mcg,310 mg,6.6 mg,1930 mg,,,,,,,,,,,,,,,,,,,,,
Baby Corn,$2.29,6 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Jollof Seasoned Rice Mix,$2.69,8 Oz,56 g,240.0,230.5,2.5 g,1.0 g,0 g,10 mg,270 mg,47 g,2 g,2 g,0 g,5 g,0 mcg,50 mg,2.0 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spice Batons,$2.29,5 Oz,24 g,120.0,118.0,6 g,3.0 g,0 g,0 mg,40 mg,15 g,0 g,9 g,8 g,1 g,0.0 mcg,20 mg,0.6 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Maple & Sea Salt Kettle Corn,$2.99,7 Oz,30 g,140.0,145.0,5.0 g,2.5 g,0 g,0 mg,220 mg,23 g,1 g,16 g,16 g,2g,0.0 mcg,0 mg,0.3 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Mac & Cheese,$3.79,12 Oz,170 g,510.0,545.0,17 g,9 g,0 g,45 mg,950 mg,75 g,4 g,8 g,0 g,23 g,0.7 mcg,350 mg,4.0 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Green Goddess Seasoning Blend,$2.99,2 Oz,1 g,0.0,8.0,0 g,,,,95 mg,2 g,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Roasted Maple Almonds,$5.99,12 Oz,33 g,180.0,190.0,14 g,1 g,0 g,0 mg,220 mg,10 g,3 g,5 g,3 g,6 g,0 mcg,80 mg,1.0 mg,200 mg,3.5 g,9 g,,,,,,,,,,,,,,,,,,,
Spooky Bats & Cats Sour Gummy Candies,$3.49,14 Oz,28 g,100.0,104.0,0g,0g,0g,0mg,15mg,26g,0g,20g,20g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,,,,,,,,,,,
Maple Walnut Biscotti,$4.49,8 Oz,27 g,110.0,112.5,4.5 g,2 g,0 g,20 mg,40 mg,16 g,0 g,8 g,7 g,2 g,0 mcg,20 mg,0.7 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Empanadas,$3.99,9.6 Oz,68 g,160.0,162.0,6 g,1.5 g,0 g,15 mg,95 mg,22 g,2 g,2 g,2 g,5 g,0 mcg,10 mg,1.3 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Alfredo Sauce,$3.49,14.5 Oz,60 g,90.0,90.0,6g,3.5g,0g,15mg,370mg,8g,1g,2g,0g,1g,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkin Blondie Brownies,$4.99,9 Oz,32 g,110.0,109.0,5 g,2.5 g,0 g,20 mg,150 mg,14 g,0 g,10 g,9 g,2 g,0.1 mcg,30 mg,0.5 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Raclette Sliced Cheese,$6.99,8.8 Oz,28 g/,100.0,100.0,8 g,4 g,0 g,25 mg,220 mg,0 g,0 g,0 g,0 g,7 g,,,,,,,,,,,,,,,,,,,,,,,,,
Kimchi & Tofu Soup,$3.49,12.35 Oz,350 g,260.0,270.0,6 g,1 g,0 g,0 mg,980 mg,43 g,4 g,14 g,4 g,11 g,0 mcg,90 mg,2.3 mg,330 mg,,,,,,,,,,,,,,,,,,,,,
Chili Sesame Oil,$2.69,3.38 Oz,14 g,110.0,112.0,12 g,2 g,0 g,0 mg,0 mg,1 g,2 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Spicy Pumpkin Samosas,$4.29,8.5 Oz,80 g,510.0,515.0,23 g,5.0 g,0 g,15 mg,1010 mg,60 g,6 g,8 g,2 g,17 g,0 mcg,190 mg,3.4 mg,380 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spiced Teeny Tiny Pretzels,$3.49,6 Oz,31 g,150.0,155.0,7 g,6 g,0 g,0 mg,210 mg,21 g,2 g,13 g,11 g,2 g,0 mcg,30 mg,0.5 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spice Espresso Beans,$0.99,2.5 Oz,35 g,360.0,377.0,21 g,12 g,0 g,15 mg,55 mg,43 g,2 g,38 g,33 g,4 g,0.1 mcg,130 mg,0.5 mg,250 mg,,,,,,,,,,,,,,,,,,,,,
Kalamata Olives with Jalapeños & Peri Peri Peppers,$2.49,12.67 Oz,15 g,35.0,36.0,4g,0g,0g,0mg,180mg,0g,0g,0g,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Poffertjes,$3.49,10.76 Oz,112 g,1150.0,1141.0,61g,6g,0 g,175mg,1060mg,131g,3g,64g,50g,17g,0 mcg,180mg,1.6mg,570mg,,,,,,,,,,,,,,,,,,,,,
Japchae Korean Glass Noodles & Vegetable Stir Fry,$3.49,10.05 Oz,142 g,370.0,379.0,11 g,1.5 g,0 g,0 mg,1120 mg,68 g,4 g,15 g,7 g,2 g,1.6 mcg,60 mg,1.5 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
White Chocolate Baking Chips,$2.99,10 Oz,15 g,80.0,84.0,4 g,2.5 g,0 g,0 mg,10 mg,10 g,0 g,10 g,8 g,2 g,0.2 mcg,20 mg,0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Honey Roasted Pumpkin Ravioli,$3.99,9 Oz,255g,570.0,565.0,13 g,6 g,0 g,45 mg,410 mg,92 g,7 g,9 g,4 g,20 g,0 mcg,230 mg,3 mg,485 mg,,,,,,,,,,,,,,,,,,,,,
Caramel Sea Salt Baking Chips,$3.49,10 Oz,15 g,80.0,76.0,4 g,3.5 g,0 g,0 mg,65 mg,10 g,0 g,10 g,10 g,0 g,0 mcg,10 mg,0.1 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Mac & Cheese Bites,$3.99,10 Oz,85 g,230.0,236.0,16g,7g,0g,45mg,320mg,18g,1g,2g,0g,5g,0.2mcg,110mg,0.9mg,150mg,,,,,,,,,,,,,,,,,,,,,
Haunted House Chocolate Cookie Kit,$9.99,38.45 Oz,30 g,120.0,115.5,3.5 g,2.0 g,0 g,0 mg,40 mg,20 g,2g,12 g,12 g,1 g,0.1 mcg,0 mg,0.6 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Cranberry Crisps,$3.99,5.3 Oz,30 g,80.0,81.5,1.5 g,0 g,0 g,0 mg,125 mg,15 g,1 g,7 g,6 g,2 g,0 mcg,20 mg,0.7 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Bisque,$4.99,25 Oz,252 g,380.0,391.0,27 g,8 g,0 g,30 mg,770 mg,33 g,4 g,22 g,19 g,4 g,,,,,,,,,,,,,,,,,,,,,,,,,
Autumnal Harvest Soup,$4.99,25 Oz,245 g,150.0,156.0,8 g,5 g,0 g,25 mg,740 mg,19 g,4 g,11 g,4 g,2 g,0 mcg,60 mg,1 mg,510 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Pumpkin Bread & Muffin Baking Mix,$4.49,17.5 Oz,31 g,190.0,188.0,8 g,1.5 g,0 g,25 mg,240 mg,27 g,2 g,16 g,15 g,2 g,0.1 mcg,10 mg,0.7 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Bread & Muffin Mix,$3.49,17.5 Oz,31 g,190.0,184.0,8g,1.5g,0g,25mg,230mg,26g,2g,14g,12g,2g,0.1mcg,10mg,0.9mg,40mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Cheesecake,$7.99,30 Oz,142 g,430.0,441.0,25 g,15 g,0.5 g,80 mg,250 mg,48 g,1 g,33 g,29 g Added Sugar,6 g,0.2 mcg,70 mg,1 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Ice Cream,$4.99,1 Qt,133 g,290.0,297.0,13 g,8 g,0 g,60 mg,75 mg,41 g,0 g,38 g,34 g,4 g,0.5 mcg,120 mg,0.2 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Butternut Squash Bisque,$4.49,20 Oz,245 g,240.0,259.0,11 g,5 g,0 g,20 mg,1750 mg,37 g,6 g,19 g,10 g,3 g,0.1 mcg,110 mg,2.2 mg,670 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin Spice Hummus,$2.49,8 Oz,28 g,70.0,70.5,2.5g,0g,0g,0mg,40mg,10g,1g,7g,7g,2g,,,,,,,,,,,,,,,,,,,,,,,,,
Autumnal Harvest Creamy Pasta Sauce,$3.99,25 Oz,125 g,100.0,106.0,6 g,3.5 g,0 g,20 mg,500 mg,12 g,2 g,8 g,4 g,1 g,0 mcg,30 mg,0.7 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Greek Nonfat Pumpkin Yogurt,$0.99,5.3 Oz,150 g,130.0,128.0,0 g,0 g,0 g,5 mg,70 mg,20 g,0 g,17 g,13 g,12 g,0.6 mcg,130 mg,0.3 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Organic Pumpkin Spice Creamy Cashew Yogurt Alternative,$1.79,5.3 Oz,150 g,140.0,142.0,6 g,1 g,0 g,0 mg,10 mg,19 g,1 g,12 g,11 g,3 g,0 mcg,20 mg,0.2 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Cinnamon Filled Korean Pancakes,$4.49,12.7 Oz,90 g,280.0,284.0,8 g,1.5 g,0 g,0 mg,180 mg,49 g,3 g,27 g,12 g,4 g,1 mcg,20 mg,0.7 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
